itl,Grand Total,"Population ('000s, mid-year estimate)",Area (km2),Per Capita Emissions (tCO2e),Emissions per km2 (kt CO2e)
TLN0F,1372.1820847262352,139.2,1061.3555000000001,9.85762991901031,1.2928581278621867
TLN0G,2266.6136295303227,116.994,3012.1148,19.37375959049458,0.7524990845403112
E06000005,562.8293405360985,109.469,197.47580000000002,5.1414495476902,2.8501180424948194
E06000047,2628.321745948111,528.127,2232.6115,4.976685051035284,1.1772409780869224
E08000037,951.8756095123906,197.722,144.0797,4.814211921346085,6.606590723831259
E06000001,615.3119129838321,93.861,98.3466,6.555565282533023,6.256565178499635
E06000002,675.7126824971583,148.285,54.5537,4.556851215545459,12.386193466202261
E08000021,1307.447545566114,307.565,115.1178,4.250963359179731,11.357475086964085
E08000022,812.5195344987856,210.487,84.8234,3.8601886791050544,9.578955034799188
E06000057,1796.9885456410998,324.362,5077.4757,5.540071110799353,0.3539137657795388
E06000003,1087.382195237041,137.175,253.7857,7.9269706231969455,4.284647224950189
E08000023,465.897431411393,148.667,67.0742,3.133832198210719,6.946000569688389
E06000004,1978.1786010948576,199.966,209.7309,9.892574743180628,9.431984514894362
E08000024,1134.685019777784,277.354,139.618,4.091107464748243,8.127068284732513
E08000024,14017.150164704666,2683.04,8674.693000000001,5.224353779557765,1.6158670012534928
E06000008,577.302428689439,155.762,137.0221,3.70631109442251,4.213206692128051
E06000009,473.3889883509126,141.574,43.1508,3.343756539695937,10.970572697398719
E08000001,1157.2174212613475,298.903,139.79229999999998,3.871548366063062,8.278119905469383
E08000002,906.7684982755102,194.606,99.4601,4.659509461555708,9.116907164536434
E06000049,2962.255009962078,406.527,1166.3577,7.2867362068499215,2.539748320744209
E06000050,3201.016106617871,361.694,941.207,8.850066925682679,3.400969294340003
E06000050,6163.271116579949,768.221,2107.5647,8.022783960058302,2.9243567785036206
E06000063,2282.897283210782,275.39,3150.8012,8.289688380880868,0.7245450088094362
E06000064,2651.0543808448156,227.643,4031.9632,11.645666156415157,0.6575095677571698
